name,source,equip,destination,access_IP,HOP1,HOP2,HOP3,HOP4,HOP5,HOP6,HOP7,HOP8,HOP9,HOP10
3G_PGW_BB,SS_3G_PGW_BB,PGW#17,SS_POFCS,10.30.136.98,SNSU-ACSM-LTE-L3SW-03,-,-,-,-,-,-,-,-,-
3G_PGW_BB,SS_3G_PGW_BB,PGW#17,BR_OCS,172.28.14.88,SNSU-PCRF-GX-L3SW-01,SNSU-IPB_PE-RT-03,SNSU-IPB-P-RT-02,BORM-IPB_PPE-RT-04,BORM-LTE-S5-L3SW-02,-,-,-,-,-
3G_PGW_BB,SS_3G_PGW_BB,PGW#17,BD_SRG,172.28.160.80,SNSU-PCRF-GX-L3SW-01,SNSU-IPB_PE-RT-03,SNSU-IPB-P-RT-02,BNDG-NEW-IPB-PPE-RT-01,BNDG-IDCN-RCS-ASW-M,-,-,-,-,-
3G_PGW_BB,SS_3G_PGW_BB,PGW#17,SS_PCRF,172.28.199.16,-,-,-,-,-,-,-,-,-,-
3G_PGW_BB,SS_3G_PGW_BB,PGW#17,SS_PCSCF,211.188.227.146,SNSU-GGSN-L2SW-09,SNSU-IPB-L3SW-01,SNSU-IPB-NEW_PE-RT-02,SNSU-IPB-P-RT-04,SNSU-IPB_PE-RT-03,SNSU-IMS-A-L3SW-01,-,-,-,-
3G_PGW_BB,SS_3G_PGW_BB,PGW#17,PS_SGSN,211.234.233.33,SNSU-LTE-S5-L3SW-01,SNSU-IPB_PE-RT-03,SNSU-IPB-P-RT-03,DNSN-IPB-P-RT-01,CNTM-IPB_PPE-RT-01,CNTM-IPB-L3SW-02,-,-,-,-
3G_PGW_BB,SS_3G_PGW_BB,PGW#17,DG_SGSN,220.103.193.33,SNSU-LTE-S5-L3SW-01,SNSU-IPB_PE-RT-03,SNSU-IPB-P-RT-02,DNSN-IPB-P-RT-02,TAEP-IPB-PPE-RT-02,TAEP-IPB-L3SW-02,-,-,-,-
3G_PGW_BB,SS_3G_PGW_BB,PGW#17,PS_SGSN,211.234.233.146,SNSU-LTE-S5-L3SW-01,SNSU-IPB_PE-RT-03,SNSU-IPB-P-RT-04,DNSN-IPB_P-RT-04,CNTM-IPB_PPE-RT-02,CNTM-IPB-L3SW-02,-,-,-,-
3G_PGW_BB,SS_3G_PGW_BB,PGW#17,DS_SGSN,172.25.141.36,SNSU-LTE-S5-L3SW-01,SNSU-IPB_PE-RT-04,SNSU-IPB-P-RT-04,DNSN-IPB-P-RT-01,DNSN-IPB-NEW_PE-RT-01,DNSN-GGSN-GnSW-04,-,-,-,-
3G_PGW_BB,SS_3G_PGW_BB,PGW#17,BR_SGSN,172.25.11.4,SNSU-LTE-S5-L3SW-01,SNSU-IPB_PE-RT-04,SNSU-IPB-P-RT-04,BORM-IPB_PPE-RT-02,BORM-IWCDMA-L3SW-02,-,-,-,-,-
3G_PGW_BB,SS_3G_PGW_BB,PGW#17,SY_SGSN,172.25.31.4,SNSU-LTE-S5-L3SW-01,SNSU-IPB_PE-RT-04,SNSU-IPB-P-RT-04,SUYU-IPB_PPE-RT-02,SUYU-IWCDMA-L3SW-04,-,-,-,-,-
LTE_MME_BB,SS_LTE_MME_BB,MME#001,SS_AUC,38.27.71.158,SNSU-LTE-S1-L3SW-01,SNSU-ISIG-RT-01,SNSU-LTE-S1-L3SW-04,-,-,-,-,-,-,-
LTE_MME_BB,SS_LTE_MME_BB,MME#001,DS_AUC,38.107.71.158,SNSU-LTE-S1-L3SW-01,SNSU-ISIG-RT-01,DNSN-ISIG-RT-01,DNSN-LTE-S1-L3SW-01,-,-,-,-,-,-
LTE_MME_BB,SS_LTE_MME_BB,MME#001,BD_HLRCS,38.43.202.35,SNSU-LTE-S1-L3SW-01,SNSU-ISIG-RT-02,BNDG-ISIG-RT-02,BNDG-LTE-S6-A-L3SW-01,-,-,-,-,-,-
LTE_MME_BB,SS_LTE_MME_BB,MME#001,DS_HLRCS,38.107.80.54,SNSU-LTE-S1-L3SW-01,SNSU-ISIG-RT-01,DNSN-ISIG-RT-01,DNSN-LTE-S1-L3SW-01,-,-,-,-,-,-
LTE_MME_BB,SS_LTE_MME_BB,MME#001,BR_HLRCS,38.11.60.113,SNSU-LTE-S1-L3SW-01,SNSU-ISIG-RT-02,BNDG-ISIG-RT-02,BORM-ISIG-RT-02,BORM-LTE-S1-L3SW-02,-,-,-,-,-
LTE_MME_BB,SS_LTE_MME_BB,MME#001,ITC_LTECBSC,172.28.14.156,SNSU-LTE-S5-L3SW-01,SNSU-IPB_PE-RT-04,SNSU-IPB-P-RT-03,BORM-IPB_PPE-RT-04,BORM-LTE-S5-L3SW-02,-,-,-,-,-
