,name,err_cnt
0,DNSN-ISIG-RT-01,5
1,SNSU-ISIG-RT-01,4
2,DNSN-LTE-S1-L3SW-01,3
3,SNSU-IPB_PE-RT-03,3
4,SNSU-ACSM-LTE-L3SW-03,2
5,DNSN-LTE-S1-L3SW-03,2
6,SNSU-LTE-S1-L3SW-11,2
7,DNSN-LTE-S6-BK-L3SW-01,2
8,SNSU-IPB-P-RT-04,2
9,DNSN-IPB_P-RT-04,2
10,DNSN-IPB_PE-RT-04,2
11,SNSU-LTE-S1-L3SW-01,2
12,SNSU-LTE-S5-L3SW-01,2
13,CNTM-IPB-L3SW-02,2
14,DNSN-ISIG-RT-02,1
15,DNSN-LTE-S1-L3SW-02,1
16,DNSN-LTE-S6-BK-L3SW-02,1
17,SNSU-ACSM_CHA-L3SW-02,1
18,SNSU-BDN-CSM_AG-L3SW-02,1
19,SNSU-ACSM-POFCS_AG-L3SW-02,1
20,SNSU-ACSM-POFCS-L3SW-05,1
21,SNSU-GGSN-L2SW-09,1
22,SNSU-IPB-L3SW-01,1
23,SNSU-IPB-NEW_PE-RT-02,1
24,SNSU-IMS-A-L3SW-01,1
25,DNSN-IPB-5G-A-MME71-LF-01,1
26,DNSN-5G-A-PUB-BL-03,1
27,DNSN-IPB_CORE-RT-03,1
28,SNSU-ACSM-POFCS-L3SW-01,1
29,SNSU-BDN-CSM_AG-L3SW-01,1
30,SNSU-ACSM_CHA-L3SW-01,1
31,SNSU-ACSM-LTE-L3SW-04,1
32,SNSU-IPB-P-RT-03,1
33,DNSN-IPB-P-RT-01,1
34,CNTM-IPB_PPE-RT-01,1
35,CNTM-IPB_PPE-RT-02,1
36,SNSU-LTE-S5-L3SW-05,1
37,SNSU-IPB_PE-RT-05,1
38,SNSU-IPB-P-RT-01,1
39,DNSN-IPB_P-RT-03,1
40,DNSN-LTE-S5-L3SW-02,1
